text,label
"Scientists at MIT have developed a breakthrough quantum computer that can solve complex problems exponentially faster than traditional computers. The research, published in Nature, represents a significant advancement in quantum computing technology.",0
"SHOCKING: This one weird trick discovered by a mom in Ohio will help you lose 50 pounds in just 2 weeks! Doctors HATE her for revealing this secret!",1
"The Federal Reserve announced a 0.25% interest rate cut following their latest monetary policy meeting, citing concerns about economic growth and inflation targets.",0
"BREAKING: Aliens have landed in Area 51 and the government is hiding the truth! This leaked video shows PROOF of extraterrestrial contact!",1
"A new study published in the Journal of Environmental Science shows that renewable energy adoption has increased by 15% globally in the past year, driven by improved solar and wind technologies.",0
"UNBELIEVABLE: Local grandmother discovers ancient secret that makes her look 20 years younger in just 3 days using this kitchen ingredient!",1
"The World Health Organization announced new guidelines for pandemic preparedness following lessons learned from COVID-19, emphasizing international cooperation and early detection systems.",0
"EXPOSED: The real reason why birds migrate revealed! Ancient alien technology controls their movements and the government knows about it!",1
"Tesla reported record quarterly earnings with a 25% increase in electric vehicle deliveries, driven by strong demand in international markets and new model launches.",0
"MIRACLE CURE: Cancer ELIMINATED forever with this simple fruit that Big Pharma doesn't want you to know about! Doctors are SPEECHLESS!",1
"The European Space Agency successfully launched its new climate monitoring satellite, which will provide unprecedented data on global temperature changes and atmospheric conditions.",0
"SHOCKING DISCOVERY: Drinking water upside down for 5 minutes every morning activates dormant DNA and gives you superpowers! Scientists BAFFLED!",1
"Oxford University researchers have identified a new treatment approach for Alzheimer's disease that shows promising results in early clinical trials, offering hope for millions of patients worldwide.",0
"GOVERNMENT CONSPIRACY: Your smartphone is secretly reading your thoughts and selling them to corporations! Here's how to protect yourself NOW!",1
"The International Monetary Fund revised its global economic growth forecast upward by 0.3% for the next year, citing improved trade relations and technological innovation.",0
